Station,Model,Step,Train R2,Test R2,MAE,MSE,RMSE,R2 Step,EVS,MAPE
7790,Gradient Boosting,5,0.8987601583193804,0.7356700407475995,2.328755271338505,8.91632131846089,2.9860209842633205,0.7028558494408548,0.7028705676588072,20.373053888284606
7790,Gradient Boosting,6,0.8987601583193804,0.7356700407475995,2.3419705170842997,8.878328094767083,2.9796523446145664,0.7046265637700813,0.704675768139834,20.889267073525904
7790,KNN,1,0.9211286796634801,0.6925356938491752,1.990378912685338,6.8658957166392085,2.6202854265593296,0.7701781833566848,0.7702270393857718,18.757211040644588
7790,KNN,2,0.9211286796634801,0.6925356938491752,2.245634266886326,8.288400988467872,2.878958316556159,0.722772553302486,0.7227884307048391,20.4821447905775
7790,KNN,3,0.9211286796634801,0.6925356938491752,2.3576565074135094,9.088651976935749,3.0147391225337805,0.6965180409965064,0.6966540348253893,21.470817934762497
7790,KNN,4,0.9211286796634801,0.6925356938491752,2.489724052718287,10.062865485996705,3.1722019932527474,0.6643895290244559,0.6648906141484913,23.254073388439444
7790,KNN,5,0.9211286796634801,0.6925356938491752,2.5446128500823724,10.413830313014827,3.227046685905679,0.6529500618129342,0.6543411431612592,23.88975343291099
7790,KNN,6,0.9211286796634801,0.6925356938491752,2.577026359143328,10.568210708401976,3.2508784518037546,0.6484057946019837,0.6494368765960876,24.040141107444988
7790,Decision Tree,1,1.0,0.5365108665941797,2.2785626029654034,9.230838138385499,3.0382294413663855,0.6910165726865157,0.6916003660775158,18.26394298058042
7790,Decision Tree,2,1.0,0.5365108665941797,2.7872116968698517,12.518943574958811,3.538211917757162,0.5812708907948689,0.5814601719856693,23.41136856953382
7790,Decision Tree,3,1.0,0.5365108665941797,3.0142504118616147,14.56957578253707,3.8170113678815616,0.5135028372133841,0.5135382768293653,25.003922896565058
7790,Decision Tree,4,1.0,0.5365108665941797,3.0745263591433276,15.134462520593083,3.8903036540343585,0.4952447589042902,0.49530624382218014,24.822897581219987
7790,Decision Tree,5,1.0,0.5365108665941797,3.154551070840198,15.92337520593081,3.9904104057015,0.4693396939605121,0.4699682522427243,28.90118749555076
7790,Decision Tree,6,1.0,0.5365108665941797,3.1682454695222404,15.970090609555186,3.9962595773491976,0.46869044600550724,0.468787588790587,28.929532193318426
